organization,codebase,instances,runtime
solo_project,minimal,Mocks,0:10:11
solo_project,minimal,Real,0:37:59
solo_project,adolescent,Mocks,0:16:26
solo_project,adolescent,Real,0:41:15
solo_project,established,Mocks,1:36:39
solo_project,established,Real,4:00:06
solo_project,mature,Mocks,3:05:22
solo_project,mature,Real,9:17:48
startup,minimal,Mocks,2:52:01
startup,minimal,Real,10:41:01
startup,adolescent,Mocks,4:37:30
startup,adolescent,Real,11:36:09
startup,established,Mocks,27:11:10
startup,established,Real,67:31:41
startup,mature,Mocks,52:08:07
startup,mature,Real,156:52:59
midsized,minimal,Mocks,91:44:50
midsized,minimal,Real,341:52:48
midsized,adolescent,Mocks,148:00:22
midsized,adolescent,Real,371:16:48
midsized,established,Mocks,869:57:21
midsized,established,Real,2160:54:00
midsized,mature,Mocks,1668:19:50
midsized,mature,Real,5020:15:36
